EAN / UPC;Código Maestro;Código Producto;Código Completo (SKU);Marca;Descripción Maestra;Descripción Color;Coste;PVPR;PVPR - Dto1;Dto1;Dto2;Dto3;Dto. Equivalente;Cantidad mínima;Cantidad múltiplo;Cantidad por pack;Stock;Stock 15 días
8050459909821;07222000;07222000 110;07222000 110 250;ROLLERBLADE;PATINES RB PRO X W;BLACK/ROSE GOLD;127,40;259,99;259,99;0,00;51,00;0,00;51,00;1;1;1;15;0
8050459909838;07222000;07222000 110;07222000 110 260;ROLLERBLADE;PATINES RB PRO X W;BLACK/ROSE GOLD;127,40;259,99;259,99;0,00;51,00;0,00;51,00;1;1;1;2;0
8050459909845;07222000;07222000 110;07222000 110 270;ROLLERBLADE;PATINES RB PRO X W;BLACK/ROSE GOLD;127,40;259,99;259,99;0,00;51,00;0,00;51,00;1;1;1;4;0
8050459909791;07222000;07222000 110;07222000 110 220;ROLLERBLADE;PATINES RB PRO X W;BLACK/ROSE GOLD;127,40;259,99;259,99;0,00;51,00;0,00;51,00;1;1;1;6;0
8050459909814;07222000;07222000 110;07222000 110 240;ROLLERBLADE;PATINES RB PRO X W;BLACK/ROSE GOLD;127,40;259,99;259,99;0,00;51,00;0,00;51,00;1;1;1;1;0
8050459909807;07222000;07222000 110;07222000 110 230;ROLLERBLADE;PATINES RB PRO X W;BLACK/ROSE GOLD;127,40;259,99;259,99;0,00;51,00;0,00;51,00;1;1;1;10;0
8050459945201;06844500;06844500 101;06844500 101;ROLLERBLADE;RUEDAS HYDROGEN STREET 60/92A (4PCS);WHITE;29,40;59,99;59,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459975390;07373100;07373100 A27;07373100 A27 290;ROLLERBLADE;PATINES BLANK TEAM;PIGEON;147,00;299,99;299,99;0,00;51,00;0,00;51,00;1;1;1;2;0
8050459975406;07373100;07373100 A27;07373100 A27 300;ROLLERBLADE;PATINES BLANK TEAM;PIGEON;147,00;299,99;299,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459975383;07373100;07373100 A27;07373100 A27 280;ROLLERBLADE;PATINES BLANK TEAM;PIGEON;147,00;299,99;299,99;0,00;51,00;0,00;51,00;1;1;1;5;0
8050459975352;07373100;07373100 A27;07373100 A27 250;ROLLERBLADE;PATINES BLANK TEAM;PIGEON;147,00;299,99;299,99;0,00;51,00;0,00;51,00;1;1;1;1;0
8050459975345;07373100;07373100 A27;07373100 A27 240;ROLLERBLADE;PATINES BLANK TEAM;PIGEON;147,00;299,99;299,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459975376;07373100;07373100 A27;07373100 A27 270;ROLLERBLADE;PATINES BLANK TEAM;PIGEON;147,00;299,99;299,99;0,00;51,00;0,00;51,00;1;1;1;0;0
8050459975369;07373100;07373100 A27;07373100 A27 260;ROLLERBLADE;PATINES BLANK TEAM;PIGEON;147,00;299,99;299,99;0,00;51,00;0,00;51,00;1;1;1;2;0
